company,job,number_of_evaluations
Recruitme Consulting,Data Science IoT,-
Clear People SPA,Comunidad TI,2 evaluaciones
IT - Talent,CTO - Líder Técnico Informático,-
IQVIA,Analista de datos #6327,95 evaluaciones
Stefanini,Desarrollador Big Data - Data Science,866 evaluaciones
Datalized,Data Scientist,-
McKinsey & Company,"Consultant - Advanced Analytics, Operations",360 evaluaciones
Conversica,Account Executive,-
SumUp,Payments Operations Manager,-
Huawei,SVA Operation Manager,2.407 evaluaciones
"Associated Universities, Inc.",System Astronomer (4339),-
United Nations,INTERN - LEGAL AFFAIRS [Temporary],484 evaluaciones
Oracle,Systems Analyst 4-Support,3.933 evaluaciones
Sovos Compliance,IT Supervisor,-
ServiceRocket,Technology Consultant,-
CA Technologies,"Consultant, Presales",697 evaluaciones
Hortonworks,Associate Technical Support Engineer,-
-,Executive Vice President of Technical Product,-
United Nations,INTERN - ECONOMIC AFFAIRS [Temporary],484 evaluaciones
Ericsson,Account Manager Entel,4.889 evaluaciones
Sovos Compliance,Systems Engineer II,-
SAS Institute,Pre Sales Academy - Chile,122 evaluaciones
EXPERIAN,SAS Programmer Senior,783 evaluaciones
Vacasa,"Software Developer - Providencia/Las Condes, Santiago, Chile",-
Cisco,Distribution Account Manager,3.867 evaluaciones
Finning CAT,Senior BW Development,344 evaluaciones
Cisco,Pre-Sales Systems Engineer,3.867 evaluaciones
Huawei,Cloud Solution Architect,2.407 evaluaciones
Progesys,Analista de datos SPSS/JAVA,5 evaluaciones
Oracle,Solutions Architect,3.933 evaluaciones
Deloitte,Analyst Developer JAVA,6.667 evaluaciones
Google,"Customer Engineer, Google Cloud Platform (Spanish)",2.378 evaluaciones
Veritas Technologies,Strategic Account Manager,252 evaluaciones
Cisco,Partner Account Manager (PAM) - Service provider,3.867 evaluaciones
ZeroFOX,Senior Application Developer,-
Equifax,Subgerente de Infraestructura y Operaciones,433 evaluaciones
ZeroFOX,Senior Software Engineer,-
KALE Recruitment,Senior Energy Analyst,-
-,05 May - Test Automation Chief,-
"TRU Staffing Partners, Inc.","VP, Cybersecurity and ESI Sales",-
Amazon.com,Sr. Cloud Technical Account Manager - Chile,24.502 evaluaciones
Vitamin T,Senior Visualization Developer,-
-,26-May - Test Automation Chief Software,-
