company,job,number_of_evaluations
smartjob spa,Consultor Big Data,-
everis,Arquitecto de Big Data,122 evaluaciones
-,Data Engineer Big Data,-
-,Arquitectos Especialistas en Big Data,-
Empresa del Rubo Financiero,Chief Data Officer,-
-,Especialista Big Data,-
-,Consultor Big Data,-
Cencosud S.A.,Analista BIG DATA y BI (AWS) Sistemas,879 evaluaciones
-,MODELADOR DATA RESEARCH (20115),-
-,DATA QUALITY ENGINEER (20489),-
managementsolutions,CONSULTOR DATA SCIENCE SANTIAGO DE CHILE,35 evaluaciones
Imagine Consulting,Ingeniero de Proyectos,-
Coca-Cola Andina,Práctica Proyecto Big Data/ Data Analytics,320 evaluaciones
Stefanini,Desarrollador Big Data,866 evaluaciones
Bechtel,Expediter,2.068 evaluaciones
Stefanini,Desarrollador Big Data - Data Science,866 evaluaciones
Stefanini,Desarrollador Big Data - Business Intelligence Architect,866 evaluaciones
Stefanini,Desarrollador Big Data - Data Visualization Specialist,866 evaluaciones
Bechtel,Trend Engineer,2.068 evaluaciones
Stefanini,Desarrollador Big Data - Data Architect,866 evaluaciones
Smartjob,Consultor TI Big Data,-
GlobalCoach Consultores,Responsable de Ventas TI (BA & Big Data),-
Adessa Falabella,Analista BigData,8 evaluaciones
Stefanini,Data Architect.,866 evaluaciones
everis,Data Engineer,122 evaluaciones
Coca Cola Andina,Práctica Proyecto Big Data/ Data Analytics,320 evaluaciones
McKinsey & Company,"Consultant - Advanced Analytics, Operations",360 evaluaciones
ENGIE Energia Chile,Ingeniera(o) Desarrollo de Aplicaciones,-
Stefanini,Desarrollador Big Data - Data Architect LEAD,866 evaluaciones
itPEOPLE,Especialista Big Data SW,-
The Coca-Cola Company,Jr. Tax Analyst - Chile,7.087 evaluaciones
Bechtel,Project Engineer Infrastructure,2.068 evaluaciones
xinergía,Analistas de Datos Bussines Intelligence (PowerBI,56 evaluaciones
BANCOESTADO CORREDORES DE SEGUROS S A,Analista de Inteligencia de Negocios,-
Indra Sistemas Chile S.A.,Analista de Base Datos,955 evaluaciones
Hortonworks,Associate Technical Support Engineer,-
Adessa Falabella,Arquitecto de Soluciones,8 evaluaciones
-,Subgerente de Tecnología,-
-,Recién Egresado con interés en Base,-
COCA-COLA EMBONOR S.A.(SANTIAGO),JEFE ANALYTICS COMERCIAL (COCA-COLA EMBONOR),-
It People Servicios Profesionales.,Analista de Monitoreo y Servicios,-
-,Analista,-
It People Servicios Profesionales.,Jefe de Proyectos DBA Oracle/DB2,-
InnerWorkings,Supplier Relations Coordinator,50 evaluaciones
MASISA S.A.,Jefe Proyectos TI (BI) Analytics,18 evaluaciones
Equifax,Software Engineer Intermediate,433 evaluaciones
Masisa,Jefe Proyectos TI (BI) Analytics,48 evaluaciones
CA Technologies,"Consultant, Presales",697 evaluaciones
-,Jefe de Tecnología,-
Sodimac SA,Ingeniero de datos/Data Engineer,16 evaluaciones
-,INTEGRATION SPECIALIST (20490),-
Teradata,Sr Account Executive,-
ServiceRocket,Growth Marketing Analyst,-
Cisco,Product Sales Specialist,3.867 evaluaciones
It People Servicios Profesionales.,Ingeniero de Datos Especialista,-
-,Ingeniero Industrial,-
-,Analista Datos Riesgo Corporativo (20314),-
managementsolutions,CONSULTOR NUEVAS TECNOLOGÍAS Y TRANSFORMACIÓN DIGITAL SANTIAGO DE CHILE,35 evaluaciones
Penta Analytics,Ingeniero Senior de Bases de Datos y BI,-
-,Analista BI,-
Ericsson,Account Manager Entel,4.889 evaluaciones
-,Software Engineer Intermediate,-
Michael Page,Empresa Multinacional de Consultoría tecnológica,155 evaluaciones
Bechtel,Field Cost Engineering Lead,2.068 evaluaciones
Unholster,Python Devs,-
SAS Institute,Pre Sales Academy - Chile,122 evaluaciones
It People Servicios Profesionales.,Jefe de Proyectos Senior DBA ORACLE/DB2,-
Oracle,Master Principal Sales Consultant,3.933 evaluaciones
Huawei,Cloud Solution Architect,2.407 evaluaciones
Xinergía,Analistas de datos Business Intelligence #1902,56 evaluaciones
-,Analista de Inteligencia de Negocio,-
