company,job,number_of_evaluations
ElementumARG,Data Analyst,-
JP Morgan Chase,TAP 2018,19.840 evaluaciones
Staff RH,Sotfware Architect,-
Jampp,Data Operations Analyst (Junior),-
myZone Media Inc.,Social Media Coordinator,-
Covance,Clin Res Assoc II,408 evaluaciones
ElementumARG,Data Engineer,-
Covance,CRA Assistant,408 evaluaciones
Facebook,Marketing Science Agency Partner,342 evaluaciones
Accenture,Data Science for Market Research,13.838 evaluaciones
S&P Global,Localization Engenieer,589 evaluaciones
JP Morgan Chase,Software Data Engineer,19.840 evaluaciones
ADN - Recursos Humanos,Ref 9876 Jefe Data Science,-
Roche,Local Quality Responsible,1.537 evaluaciones
ADN HR,Jefe Data Science,3 evaluaciones
WE 4 IT Services Pvt Ltd,ITS Business Analyst (8321667),-
JP Morgan Chase,Quality Control Team – Analyst,19.840 evaluaciones
RecargaPay,Fraud Manager,-
RecargaPay,BI Analyst,-
Grandata,Data Engineer / Big Data Developer,-
Unilever,Digital Marketing- Data Analyst,5.114 evaluaciones
JP Morgan Chase,Applications Support,19.840 evaluaciones
IQVIA,Laboratory Project Set Up Coordinator,95 evaluaciones
ElementumARG,Senior Manager - Data Acquisition,-
Michael Page,Data Scientist Sr,155 evaluaciones
Altoros,Full-Stack Ethereum DApp Developer,-
IQVIA,Site Management Coordinator,95 evaluaciones
QuanticMind,Market Research Analyst,-
Boston Scientific Corporation,Reg Affairs Specialist,928 evaluaciones
Cognizant,Functional Tester SA,9.935 evaluaciones
"Medallia, Inc.",Systems Administrator,-
IQVIA,Quality Assurance Coordinator,95 evaluaciones
OLX Group,BI Data Engineer / ETL Developer,-
OLX Group,Quantitative Product Analyst,-
Jampp,Product Analyst,-
Baker Hughes,Senior Geomechanics Consultant,3.413 evaluaciones
Jampp,Business Intelligence Analyst,-
NCR,Project/Program Manager (Buenos Aires/Argentina),1.651 evaluaciones
IQVIA,Associate Regulatory & Start Up Specialist,95 evaluaciones
Vertiv Co.,IT Business Analyst,453 evaluaciones
WeWork,Sourcing Specialist,-
Microsoft,Subsidiary BG Lead,4.459 evaluaciones
Glovo,Marketing BI Analyst LatAm,31 evaluaciones
MSD,Regulatory Affairs Specialist Job,499 evaluaciones
Cisco,Customer Success Manager,3.867 evaluaciones
SC Johnson,Regulatory Affairs Registration Manager,189 evaluaciones
Lenovo,Services Business Analyst,805 evaluaciones
Honeywell,Systems Analyst,5.916 evaluaciones
General Electric,Senior Geomechanics Consultant,210 evaluaciones
Telecom Argentina,Analytics,42 evaluaciones
McKinsey & Company,"Consultant - Advanced Analytics, Operations",360 evaluaciones
Chevron,Incident Management Analyst,2.578 evaluaciones
S&P GLOBAL MARKET INTELLIGENCE,Localization Engineer,589 evaluaciones
Kimberly-Clark,Business Information Security Officer,1.110 evaluaciones
Chevron,ITC GCF IT Procurement ARIBA Business Analyst,2.578 evaluaciones
Lenovo,I&C Sales Operations Specialist,805 evaluaciones
Vlocity,Customer Support Engineer,-
Google,Customer Solutions Engineer,2.378 evaluaciones
Sanofi,SFE Lead South Cone,2.566 evaluaciones
RecargaPay,Software Architect,-
IQVIA,Project Management Analyst,95 evaluaciones
amdocs,DWH/BI Architect @ Buenos Aires,817 evaluaciones
Covance,Sr Clin Res Assoc,408 evaluaciones
"FalconStor Software, Inc.",Technical Support Engineer (long-term contractor),-
amdocs,Functional Test Engineer @ Buenos Aires,817 evaluaciones
Grandata,Full Stack Developer,-
IQVIA,Sr Clinical Research Associate,95 evaluaciones
amdocs,Solutions Sales Expert @ CABA,817 evaluaciones
FOUND,Java Developer,-
ExxonMobil,Software Developer,1.830 evaluaciones
Moody's,Software Engineer,256 evaluaciones
Vlocity,Solution Architect,-
Grandata,Blockchain Developer,-
Grandata,Backend Developer,-
Ministerio de Modernización,EXT | Asesor para análisis de datos INDEC,3 evaluaciones
Jampp,Full Stack Javascript Developer,-
Johnson & Johnson Family of Companies,Regional Regulatory Affairs Senior Manager- Janssen,3.221 evaluaciones
QuanticMind,Senior Revenue Intelligence Analyst,-
Vlocity,Industry Cloud Architect,-
Rise Interactive,"Lead Analyst, Analytics",-
Chevron,SAP Business Warehouse Analyst,2.578 evaluaciones
Jampp,Junior Software Engineer,-
IQVIA,Associate Medical Director,95 evaluaciones
Chevron,Software Engineer,2.578 evaluaciones
JP Morgan Chase,Software Engineering - C# Developer,19.840 evaluaciones
AlixPartners,Digital Analytics Developer,-
JP Morgan Chase,Java Developer,19.840 evaluaciones
Vlocity,Lead Architect,-
Roche,Sr. Quality Engineer Backend,1.537 evaluaciones
Grandata,DevOps Engineer,-
JP Morgan Chase,Software Engineer - Front End,19.840 evaluaciones
Vlocity,Order Management Architect,-
Belatrix,Bs As - General: Android Developer,-
Vlocity,Vlocity Developer (Salesforce Configurator),-
Chevron,ITSD ESS SAP Business Warehouse ETL/ Optimization Analyst 1,2.578 evaluaciones
OLX,Quantitative Product Analyst,24 evaluaciones
IQVIA,Real World Evidence Site Management Lead,95 evaluaciones
Michael Page,Integrated Business Planning,155 evaluaciones
Havas Group Argentina,Project Manager [Marketing Analytics],-
South Talent,Back End Data Developer,-
Belatrix,Bs As - General: iOS Developer,-
ElementumARG,Software Development Engineer - CI/CD,-
JP Morgan Chase,Experienced Software Engineer - Front End,19.840 evaluaciones
JP Morgan Chase,Software Engineer - Back End,19.840 evaluaciones
Google,"Partner Engineer, Google Cloud (English, Spanish)",2.378 evaluaciones
Randstad,data scientist sr.,11.042 evaluaciones
JP Morgan Chase,Global Network Operations Center Engineer,19.840 evaluaciones
JP Morgan Chase,Experienced Software Engineer - Back End,19.840 evaluaciones
Google,"Customer Engineer, Google Cloud Platform (Spanish)",2.378 evaluaciones
Core Security,Senior UI Software Engineer,-
Page Personnel,BI Analyst,110 evaluaciones
QuanticMind,Front End Software Engineer,-
Amazon.com,Cloud Technical Account Manager - Argentina,24.497 evaluaciones
MURAL,Senior JS Full Stack Developer,-
OLX Group,Java Software Engineer,-
ElementumARG,Software Engineer - Back End,-
JP Morgan Chase,Software Engineering- .NET Developer,19.840 evaluaciones
JP Morgan Chase,Software Engineer in User Interface and User Experience,19.840 evaluaciones
JP Morgan Chase,Software Engineering - Java Developer,19.840 evaluaciones
HV Talent,Front End Developer Ssr/Sr,-
Contactos,Server Developer,-
JP Morgan Chase,Java Developer Lead - VP,19.840 evaluaciones
Neginet,Python Backend Engineer (Argentina Residents Only),-
BairesDev,QA Manager,-
Grandata,Lead DevOps Engineer,-
"HirePower Personnel, Inc.",SharePoint Designer III,-
Jolet RRHH,Python Tech Lead,-
JP Morgan Chase,Software Engineering- Developer C# SR,19.840 evaluaciones
Moody's Investors Service,Senior Software Engineer,256 evaluaciones
Core Security Technologies,Senior UI Software Engineer,-
Conexion Consultoría en Recursos Humanos,Security Assurance Specialist (Consultor en Seguridad),-
Werben Capital Humano,"Product Manager, Microcentro CABA ID 380",-
Werben Capital Humano,"Site Reliability Engineer Palermo, CABA ID157",-
Werben HR,Senior ETL Developer - Microcentro,-
Randstad,ses software engineer,11.042 evaluaciones
Randstad,software engineer,11.042 evaluaciones
Randstad,gcf it software engineer,11.042 evaluaciones
